tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
56,imitate,46.976,0.000000,-0.982,0.001765,0.600000,0.000000,0.097969,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.151562,0.053594,0.068359,0.811979,6,40.000,48.811,240.000,240.000,96.000,0.000000,4.101547,-0.018176,2.500
57,imitate,47.682,0.000000,0.135,-0.000421,0.000000,0.021104,0.097969,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.151562,0.053594,0.068359,0.811979,6,40.000,48.811,240.000,240.000,96.000,0.000000,4.311372,-0.018176,2.500
58,imitate,48.565,-0.026328,2.158,-0.004269,0.000000,0.000000,0.088086,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.000781,0.135937,0.047852,0.066992,0.817969,6,40.000,48.934,240.000,240.000,84.000,0.000000,1.709311,-0.076111,2.500
59,imitate,47.873,-0.035543,8.264,-0.016243,0.600000,0.000000,0.088086,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.000781,0.135937,0.047852,0.066992,0.817969,6,40.000,48.934,240.000,240.000,84.000,0.000000,4.487127,-0.076111,2.500
60,imitate,48.962,-0.038768,15.013,-0.028285,0.000000,0.000000,0.088086,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.000781,0.135937,0.047852,0.066992,0.817969,6,40.000,48.934,240.000,240.000,84.000,0.000000,0.074934,-0.076111,2.500
61,imitate,48.250,-0.011483,18.997,-0.035186,0.000000,0.000000,0.105586,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.163281,0.057695,0.053320,0.935677,6,40.000,49.025,240.000,240.000,94.000,0.000000,0.547334,-0.005423,2.500
62,imitate,48.189,-0.001933,6.630,-0.009813,0.000000,0.000000,0.105586,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.163281,0.057695,0.053320,0.935677,6,40.000,49.025,240.000,240.000,94.000,0.000000,0.237236,-0.005423,2.500
63,imitate,47.306,0.001409,-0.166,0.000310,0.600000,0.000000,0.105586,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.163281,0.057695,0.053320,0.935677,6,40.000,49.025,240.000,240.000,94.000,0.000000,2.131763,-0.005423,2.500
64,imitate,47.552,0.011441,-2.784,0.005291,0.240356,0.000000,0.213086,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.032813,0.310156,0.097070,-0.017773,0.833594,6,40.000,48.819,240.000,49.597,100.000,0.000000,5.664538,-0.011413,2.500
65,imitate,48.387,0.014953,-8.016,0.015446,0.000000,0.000000,0.213086,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.032813,0.310156,0.097070,-0.017773,0.833594,6,40.000,48.819,240.000,240.000,100.000,0.000000,4.475065,-0.011413,2.500
